sensor_id,sensor_name,sensor_type,location_name,location_address,username,first_name,last_name,email,telephone,employee_code,position,department
1,motion detection sensor,-,คันนายาว,ปลวกแดง,AkA,วัชรารัตน์,อรุณรักษ์,cnpp@gmail.com,0878506803,29572,เขตดุสิต,เขตวังทองหลาง
2,pH sensor,-,เชิงเนิน,ดุสิต,Amazing,ขวัญชัย,เพชรน้อย,eppg@gmail.com,081388245,10282,เขตหนองจอก,เขตคลองสามวา
3,temperature sensor,Celsius,สำนักท้อน,แกลง,ACE,ธนพล,พูลเกิด,feoa@gmail.com,0844247826,36820,เขตบางรัก,เขตบางนา
4,temperature sensor,Celsius,บ้านฉาง,แกลง,Argento,นิรันดร์,หนูช่วย,lbfl@gmail.com,0845813225,18063,เขตบางเขน,เขตทวีวัฒนา
5,CO2 sensor,%,วังหว้า,เชียงดาว,Apple,บันลือศักดิ์,รักษาชาติ,tsnu@gmail.com,0810421760,51766,เขตบางกะปิ,เขตทุ่งครุ
6,smoke detector sensor,-,ชำฆ้อ,คลองสามวา,Apollo,อภิชิต,เกลี้ยงกมล,ipzp@gmail.com,0877712682,55749,เขตปทุมวัน,เขตบางบอน
7,temperature sensor,Celsius,บ้านฉาง,แกลง,Asher,สาธิต,กล่อมแก้ว,rlbp@gmail.com,0896732422,84647,เขตป้อมปราบศัตรูพ่าย,ขามทะเลสอ
8,sound level sensor,%,แม่โป่ง,ดอยสะเก็ด,Aleister,วิรัฐ,ษัฏเสน,cvrq@gmail.com,0812337697,22270,เขตพระโขนง,โนนไทย
9,light intensity sensor,lux,ดินแดง,แกลง,ALIS,อดิศร,ชูอ่อน,qdsq@gmail.com,0858974210,85130,เขตมีนบุรี,โชคชัย
10,EC sensor,ms/cm,ทรายกองดินใต้,บ้านฉาง,Ares,กฤษณชัย,กลิ่นใจ,luwe@gmail.com,0875428687,85802,เขตลาดกระบัง,เฉลิมพระเกียรติ
11,CO2 sensor,%,เมืองคอง,เมืองระยอง,ASNAEB,ฤชิษฐ์,หิตะวัฒนกุล,djle@gmail.com,0841176363,56792,เขตยานนาวา,โนนแดง
12,EC sensor,ms/cm,ดุสิต,เขาชะเมา,Banana,จิรัฏฐ์,เรืองทองเมือง,ccli@gmail.com,0818654872,32372,เขตสัมพันธวงศ์,ปักธงชัย
